ArticleID,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,llm_readability
2717,5,7,6,8,5,7,10,8,1,7,1,6,1,1,1,8
2718,1,3,10,7,10,4,1,6,1,1,1,9,1,1,5,5
2719,7,10,10,6,5,8,10,7,1,6,1,6,1,1,5,8
2720,9,8,10,10,10,9,8,8,1,6,1,8,1,1,1,7
2721,8,8,10,10,5,9,8,7,1,7,1,6,1,2,1,8
2722,5,10,9,10,10,10,8,4,1,1,6,8,1,1,6,6
2723,5,8,8,9,10,9,9,7,1,1,7,7,1,1,1,8
2724,2,4,7,9,5,7,9,8,1,6,1,3,2,1,2,8
2725,9,8,7,10,10,9,10,9,1,8,3,8,1,2,2,8
2726,10,10,10,10,10,10,8,8,1,8,7,8,1,2,1,8
2727,2,9,10,10,10,9,10,6,1,1,1,6,1,1,4,8
2728,1,4,7,10,10,5,1,5,1,1,1,7,1,1,3,6
2729,3,10,7,6,10,8,10,6,1,1,1,6,1,1,5,7
2730,9,10,10,10,10,9,8,8,1,9,1,7,1,1,2,7
2731,6,10,10,10,5,9,9,7,1,1,1,6,1,1,1,8
2732,1,3,4,3,10,4,5,3,1,1,1,5,1,1,2,7
2733,10,10,9,10,5,8,10,8,1,1,3,6,1,1,6,8
2734,5,7,8,9,5,7,9,8,1,7,1,6,1,3,2,8
2735,5,7,8,10,10,8,9,8,1,3,2,5,1,2,1,9
2736,10,10,10,10,10,9,8,4,1,1,1,7,1,2,3,6
2737,9,10,10,10,10,9,2,7,1,1,1,6,1,1,1,8
2738,9,10,4,10,10,9,4,8,1,2,1,2,1,1,1,9
2739,1,9,10,10,10,9,9,8,1,3,5,8,1,1,2,7
2740,1,6,8,3,10,8,9,3,1,4,1,8,1,1,1,5
2741,10,10,10,7,10,9,10,7,1,1,1,7,1,4,1,7
2742,1,10,10,4,10,9,8,8,1,1,1,9,1,1,1,6
2743,7,9,8,10,10,9,6,7,1,9,1,7,1,2,2,7
2744,1,9,9,6,10,8,10,8,1,4,3,6,1,2,4,8
2745,9,9,8,8,5,9,9,8,1,1,1,8,1,6,1,7
2746,10,10,7,6,5,9,10,8,1,7,5,8,1,1,5,8
2747,8,10,9,10,5,9,10,9,1,1,1,5,1,1,1,9
2748,10,8,8,10,5,9,9,8,1,1,1,7,1,1,1,7
2749,2,6,7,6,10,6,10,9,1,9,1,6,1,3,6,8
2750,8,8,8,10,10,7,6,6,1,7,1,6,1,3,1,8
2751,5,8,6,10,5,8,10,8,1,7,1,3,1,4,1,9
2752,9,10,10,4,10,9,10,8,1,1,1,7,1,1,1,7
2753,9,10,10,10,10,10,10,9,1,7,6,8,1,1,1,7
2754,10,10,10,10,10,9,8,8,1,7,5,7,1,4,1,8
2755,8,9,8,10,10,8,10,5,1,8,3,9,1,1,1,6
2756,7,10,10,4,5,8,10,7,1,10,3,7,1,1,5,8
2757,2,8,6,10,5,6,4,7,1,1,1,6,1,1,5,8
2758,2,9,10,10,10,9,9,8,1,8,4,8,1,1,4,7
2759,2,3,9,8,10,6,7,7,1,9,1,6,1,1,5,8
2760,8,10,10,10,10,9,9,7,1,7,9,7,1,1,8,7
2761,1,9,7,7,10,8,8,4,1,7,5,7,1,1,1,7
2762,3,7,8,10,5,7,5,6,1,1,1,9,1,1,1,6
2763,5,10,8,10,10,10,8,8,1,10,1,6,1,1,1,9
2764,2,10,8,9,10,9,9,8,1,1,1,6,1,2,1,8
2765,8,10,10,7,5,10,9,7,1,10,1,6,1,1,3,8
2766,10,10,7,10,10,9,10,6,1,7,1,6,1,1,1,7
2767,1,8,9,10,10,8,10,7,1,1,1,8,1,1,1,6
2768,9,7,8,6,5,8,6,6,1,3,1,6,1,1,3,7
2769,5,10,9,4,10,9,10,8,1,10,1,7,1,3,1,8
2770,1,7,10,5,10,7,8,7,1,4,4,7,1,1,5,7
2771,3,10,10,7,5,8,6,9,1,6,1,2,1,1,5,9
2772,9,10,6,9,5,9,10,8,1,10,1,7,1,1,1,8
2773,9,9,10,9,10,9,10,7,1,1,1,5,1,1,2,8
2774,10,8,7,10,10,8,4,8,1,1,1,8,1,1,5,8
2775,5,8,10,10,10,8,10,4,1,9,1,6,1,3,5,7
2776,5,9,10,10,5,9,9,8,1,9,1,6,1,1,3,9
2777,5,8,9,10,10,7,3,6,1,1,1,7,1,1,1,7
2778,9,10,9,10,5,10,9,4,1,1,1,4,2,1,3,7
2779,9,10,10,10,10,10,10,8,1,9,1,9,1,1,1,6
2780,5,8,8,4,10,8,8,3,1,1,1,6,1,1,1,6
2781,10,10,10,8,5,10,10,9,1,6,1,7,3,1,1,7
2782,1,3,6,10,10,3,10,4,1,1,1,8,1,4,2,6
2783,9,10,10,10,10,9,6,8,1,1,1,6,1,1,1,8
2784,9,9,9,10,10,9,8,4,1,8,1,6,1,1,2,6
2785,6,7,8,10,10,8,5,6,1,1,1,7,1,1,2,7
2786,8,6,6,4,5,6,8,5,1,1,1,5,1,1,1,6
2787,8,10,10,10,10,10,6,7,1,1,1,7,1,2,1,8
2788,1,4,10,10,10,5,10,7,1,1,1,6,1,2,5,8
2789,3,4,9,8,5,7,8,8,1,1,1,4,1,1,3,8
2790,4,8,10,8,10,8,10,8,1,8,7,7,2,1,1,8
2791,5,6,7,5,10,4,9,5,1,3,1,8,1,1,7,6
2792,1,7,7,10,5,6,6,5,1,1,1,3,1,1,1,7
2793,2,8,8,10,5,8,9,6,1,8,1,7,1,1,3,6
2794,2,7,7,10,5,8,8,9,1,7,1,6,1,2,2,9
2795,4,4,6,5,5,4,9,3,1,1,4,8,2,2,2,5
2796,2,3,4,6,10,6,9,5,1,10,3,6,2,1,5,7
2797,10,10,9,10,10,9,8,9,1,6,1,6,1,1,1,9
2798,8,10,10,10,10,10,10,4,1,1,6,9,1,1,5,7
2799,9,8,9,10,10,9,10,8,1,1,1,8,1,1,6,8
2800,2,6,5,9,10,8,9,4,1,6,2,6,1,1,2,7
2801,2,10,10,10,10,9,9,9,1,6,1,6,1,3,1,8
2802,9,10,8,10,10,10,9,8,1,9,6,8,1,1,1,7
2803,8,10,8,7,10,9,10,9,1,1,1,4,1,1,1,8
2804,8,10,7,10,10,9,5,3,1,4,1,8,1,1,1,4
2805,10,10,10,10,10,9,10,7,1,6,1,9,1,1,1,6
2806,1,4,4,3,10,7,5,2,1,1,1,8,1,1,1,4
2807,1,4,7,10,5,4,3,6,1,1,1,6,1,4,1,7
2808,1,3,2,10,5,3,8,5,1,1,1,3,1,3,1,7
2809,5,4,6,10,10,5,9,7,1,1,1,6,1,2,1,8
2810,9,10,8,10,10,9,10,7,1,9,1,4,3,1,1,8
2811,5,10,8,10,10,9,9,3,1,6,1,7,1,1,5,5
2812,2,6,9,4,5,6,9,7,1,7,1,6,1,1,5,8
2813,10,10,10,10,10,10,9,8,1,3,1,6,1,1,7,8
2814,8,10,10,10,10,10,10,6,1,9,10,9,1,1,1,6
2815,9,9,7,8,10,9,10,8,1,1,5,3,1,1,2,9
2816,2,9,8,10,10,9,10,8,1,1,2,6,1,1,1,8
2817,4,6,6,6,5,8,5,6,1,1,1,7,1,1,5,6
2818,5,9,10,3,10,7,8,6,1,7,6,8,1,3,1,8
2819,1,3,10,10,10,5,10,7,1,10,1,4,1,1,5,8
2820,10,10,10,10,5,10,9,8,1,6,1,9,1,1,1,7
2821,5,10,10,10,10,8,10,10,1,7,1,3,1,1,1,9
2822,3,8,6,3,5,8,8,6,1,7,1,9,1,1,2,6
2823,3,4,5,4,10,8,9,6,1,1,1,5,1,2,1,7
2824,9,10,10,3,10,9,5,6,1,1,1,8,1,1,1,6
2825,9,10,10,10,10,10,10,7,1,3,1,7,1,6,1,8
2826,9,8,8,9,10,9,9,9,1,1,1,6,1,1,1,9
2827,10,4,4,6,5,6,5,4,1,1,1,8,2,2,1,6
2828,1,7,6,4,10,8,8,3,1,7,1,9,1,5,1,5
2829,8,6,6,10,10,8,10,8,1,6,1,3,1,1,1,9
2830,8,9,8,6,10,8,8,7,1,1,4,4,1,1,3,8
2831,1,3,4,10,10,5,7,6,1,1,5,8,1,1,3,7
2832,9,10,9,10,10,9,8,4,1,9,3,8,1,1,2,7
2833,9,10,8,10,10,10,9,8,1,10,6,7,1,1,3,8
2834,3,6,6,7,10,7,3,5,1,7,1,6,1,1,3,6
2835,2,7,7,10,10,8,2,6,1,1,1,3,1,1,1,7
2836,9,8,8,10,5,9,8,6,1,9,1,7,2,2,3,8
2837,7,7,6,3,5,7,8,6,1,3,1,6,1,3,1,8
2838,6,10,10,10,10,10,9,9,1,10,1,7,1,1,1,8
2839,9,9,10,10,10,9,7,7,1,8,1,3,1,6,3,7
2840,5,3,4,4,5,3,8,3,1,1,1,7,1,6,2,5
2841,9,9,8,10,10,10,9,4,1,6,9,9,2,1,2,6
2842,2,8,8,8,10,8,10,5,1,8,1,9,1,2,5,6
2843,5,8,7,10,10,8,9,6,1,9,1,7,1,2,1,7
2844,9,10,8,9,10,9,10,6,1,7,1,9,1,4,6,5
2845,8,10,8,9,5,9,10,6,1,7,1,8,1,3,5,7
2846,1,6,7,10,5,7,9,8,1,7,1,8,2,2,7,7
2847,9,9,7,9,10,9,6,8,1,1,1,2,2,2,1,9
2848,2,6,8,4,10,4,4,7,1,1,1,6,2,1,1,7
2849,1,7,8,6,10,8,9,8,1,1,1,6,1,1,5,8
2850,9,7,6,7,5,9,8,8,1,4,5,7,1,1,6,7
2851,5,10,9,7,10,10,9,8,1,8,5,7,1,1,2,8
2852,8,9,8,6,10,7,6,2,1,1,1,6,1,2,3,4
2853,9,10,10,10,10,9,7,5,1,1,2,8,1,1,1,6
2854,1,8,8,10,10,8,10,8,1,9,1,6,1,3,1,8
2855,6,10,7,10,10,9,9,6,1,9,1,4,1,3,3,8
2856,8,10,10,10,5,10,9,7,1,4,5,6,1,3,1,8
2857,9,10,10,10,5,10,2,6,1,1,1,6,1,1,3,8
2858,7,10,9,10,10,9,10,5,1,7,1,8,1,1,1,6
2859,7,7,8,9,6,9,9,6,1,8,2,6,1,1,3,7
2860,9,10,9,10,5,10,10,9,1,1,1,6,1,1,6,9
2861,8,10,9,10,10,9,7,8,1,9,1,8,1,1,1,6
2862,1,3,10,10,10,5,8,8,1,1,1,8,1,1,5,7
2863,9,8,7,4,10,9,7,6,1,1,1,8,1,2,2,7
2864,9,8,7,7,5,8,9,6,1,6,5,7,1,1,5,7
2865,5,10,10,3,10,9,10,9,1,7,5,8,1,3,1,7
2866,8,10,7,10,5,9,10,8,1,9,9,4,1,2,1,9
2867,1,4,9,10,5,5,10,8,1,3,1,7,1,2,5,8
2868,5,10,10,7,10,9,9,7,1,1,1,7,1,1,5,7
2869,8,10,10,10,5,9,10,6,1,7,1,4,1,2,3,8
2870,9,8,7,10,10,9,3,2,1,1,1,6,2,1,2,4
2871,3,4,8,7,10,6,6,7,1,7,4,7,1,1,1,8
2872,9,10,10,10,10,10,9,7,1,10,1,7,2,3,4,8
2873,2,3,4,8,10,7,9,6,1,1,1,7,2,1,2,7
2874,2,8,8,10,10,9,5,6,1,1,1,5,1,1,5,7
2875,5,7,8,10,10,8,9,8,1,7,1,4,1,1,1,9
2876,5,8,8,7,10,8,5,3,1,1,1,9,1,3,3,4
2877,2,6,7,4,10,6,9,7,1,1,1,4,1,4,1,8
2878,1,10,8,9,10,10,9,7,1,1,1,3,2,4,2,8
2879,8,7,7,4,10,8,4,7,1,1,1,3,1,3,6,8
2880,9,10,10,10,10,10,5,6,1,6,7,5,1,3,2,8
2881,5,4,5,10,5,8,9,8,1,1,1,4,1,3,1,8
2882,9,8,7,8,10,8,5,8,1,6,3,7,2,4,5,8
2883,8,9,9,9,10,8,7,6,1,1,1,6,1,2,4,6
2884,5,7,7,10,5,8,5,4,1,1,5,8,1,2,1,7
2885,9,10,10,10,10,9,5,4,1,1,1,7,3,1,1,7
2886,5,10,10,10,10,9,10,6,1,8,1,6,1,1,1,8
2887,3,3,3,9,5,6,10,8,1,2,1,7,1,1,3,7
2888,4,3,3,2,10,5,2,2,1,3,1,6,1,1,4,5
2889,1,4,8,4,10,6,10,8,1,6,5,3,1,1,2,9
2890,1,10,8,10,5,9,7,4,1,2,6,8,2,3,6,6
2891,7,10,10,10,10,10,9,8,1,10,3,7,1,1,2,7
2892,5,7,7,7,10,7,3,6,1,1,1,8,1,1,5,7
2893,9,10,10,10,10,9,8,6,1,9,1,7,3,1,5,7
2894,3,7,7,10,10,7,10,3,1,8,1,7,2,3,2,6
2895,9,10,10,4,5,9,5,3,1,1,1,9,1,1,1,4
2896,1,3,9,3,5,4,3,3,1,3,1,8,1,1,2,5
2897,1,4,7,10,10,7,10,7,1,7,1,8,1,1,1,7
2898,5,10,10,10,10,9,5,8,1,8,1,6,1,1,5,8
2899,1,5,9,4,5,7,8,6,1,3,1,6,1,1,1,7
2900,1,9,10,7,10,9,7,7,1,8,1,4,1,1,1,8
2901,9,10,10,4,10,9,8,8,1,6,1,7,1,1,1,6
2902,10,10,9,10,5,9,10,6,1,4,2,8,1,1,2,6
2903,8,10,10,10,5,10,10,3,1,10,6,9,1,1,5,6
2904,3,10,10,6,5,10,9,6,1,6,1,7,2,1,3,7
2905,1,7,7,10,5,6,4,7,1,1,9,8,1,1,1,7
2906,1,8,10,10,10,8,9,4,1,3,1,9,1,1,1,6
2907,2,7,6,10,5,7,5,3,1,7,7,8,1,1,2,6
2908,8,10,10,10,10,9,10,8,1,1,1,4,1,1,2,8
2909,1,9,8,10,5,8,7,6,1,9,1,7,1,1,1,6
2910,2,6,8,4,10,5,10,4,1,1,5,8,1,1,5,6
2911,1,4,6,7,10,6,8,8,1,1,1,3,1,1,1,8
2912,3,4,6,8,10,6,9,8,1,8,1,7,1,1,3,7
2913,3,4,6,9,10,6,5,7,1,4,2,6,1,1,2,8
2914,9,7,8,10,10,7,9,8,1,1,1,6,1,7,1,8
2915,9,10,10,10,10,9,8,8,1,1,1,7,1,6,1,8
2916,1,10,10,6,5,6,5,8,1,1,1,8,1,1,1,6
2917,9,9,9,10,10,9,10,9,1,10,1,8,1,1,1,7
2918,5,10,9,10,10,10,10,3,1,9,1,7,1,1,1,7
2919,6,9,9,9,5,9,9,8,1,9,1,7,1,1,5,8
2920,3,8,7,10,10,8,9,4,1,6,1,7,1,1,4,7
2921,10,10,10,8,10,9,9,4,1,10,5,8,1,1,5,7
2922,1,3,3,4,10,7,7,4,1,1,1,7,1,2,5,6
2923,6,9,10,10,10,8,8,9,1,1,1,6,1,1,5,9
2924,5,10,7,9,10,8,8,4,1,10,1,6,1,1,5,8
2925,2,7,8,10,10,8,9,3,1,9,6,6,2,1,3,6
2926,3,7,8,10,10,7,5,3,1,1,1,9,1,1,6,4
2927,7,7,7,7,5,8,8,4,1,6,3,8,1,1,2,6
2928,2,6,4,9,5,8,10,3,1,1,1,6,1,7,4,7
2929,9,10,10,10,10,10,9,8,1,1,1,7,1,6,5,8
2930,5,10,8,10,5,9,8,6,1,3,1,4,1,1,1,8
2931,8,8,8,10,10,8,8,3,1,1,1,3,4,1,2,6
2932,8,8,8,10,9,9,8,7,1,1,5,7,1,7,3,8
2933,9,8,7,10,5,8,10,8,1,10,1,8,1,3,1,8
2934,5,10,10,10,10,8,10,8,1,9,1,7,1,1,5,7
2935,10,10,8,10,10,10,10,8,1,6,2,7,1,1,3,7
2936,7,8,8,4,10,8,5,6,1,1,4,6,1,1,1,8
2937,5,4,6,7,5,6,5,3,1,1,1,4,1,4,1,6
2938,8,8,8,10,5,8,6,7,1,1,1,3,1,1,1,8
2939,9,10,10,10,10,9,8,6,1,9,1,8,1,1,6,7
2940,9,10,8,9,10,9,9,8,1,9,1,7,1,1,1,7
2941,1,9,8,10,10,8,9,3,1,7,6,2,2,3,1,7
2942,9,10,10,10,10,8,5,5,1,1,6,6,1,2,1,7
2943,10,8,8,7,10,9,10,7,1,1,1,8,1,1,1,7
2944,1,6,8,10,10,8,10,8,1,8,7,7,1,1,5,8
2945,5,7,7,9,10,6,8,4,1,1,1,6,1,2,2,7
2946,1,3,3,6,10,6,10,8,1,9,1,9,1,1,1,6
2947,5,8,10,10,10,9,9,8,1,9,6,6,1,1,2,8
2948,2,10,10,10,5,9,10,7,1,6,1,9,2,1,1,6
2949,9,10,9,10,10,9,10,7,1,1,1,5,1,1,5,8
2950,8,7,7,6,10,8,10,7,1,8,1,6,1,1,1,7
2951,9,10,10,10,10,9,10,7,1,1,3,9,1,3,2,6
2952,5,10,10,7,10,9,1,4,1,1,5,7,1,1,1,6
2953,1,3,8,5,6,3,9,6,1,1,1,7,1,1,1,7
2954,2,7,8,5,10,9,8,7,1,10,1,8,1,4,5,7
2955,7,8,7,10,10,6,10,8,1,1,4,7,1,1,6,8
2956,5,8,7,7,5,7,6,4,1,1,1,8,1,2,2,6
2957,1,4,6,3,5,4,9,3,1,6,1,8,1,3,7,6
2958,8,8,8,8,10,9,9,6,1,7,1,7,1,6,5,7
2959,9,10,7,10,10,10,9,4,1,7,1,6,1,1,1,7
2960,2,8,9,10,10,8,10,6,1,1,2,8,1,1,5,6
2961,5,6,7,10,5,7,10,6,1,1,1,6,1,1,1,8
2962,10,10,10,10,10,9,9,9,1,6,6,7,1,2,3,8
2963,9,8,10,4,5,9,6,6,1,3,1,8,1,1,2,6
2964,10,10,10,4,10,9,1,4,1,1,3,9,1,1,1,6
2965,8,10,9,10,10,9,6,3,1,1,1,8,1,4,5,6
2966,3,3,6,7,5,6,9,8,1,9,6,6,2,2,2,8
2967,10,10,10,10,5,10,5,8,1,1,1,1,2,1,1,9
2968,2,3,4,6,5,4,8,7,1,7,1,4,1,3,2,8
2969,6,6,7,6,5,8,8,5,1,10,1,6,1,1,5,6
2970,5,8,7,9,10,9,7,5,1,1,5,4,1,2,2,8
2971,10,8,8,7,5,9,3,3,1,1,1,9,1,1,3,6
2972,5,8,9,4,10,8,10,9,1,6,6,7,1,7,4,8
2973,1,8,10,4,10,8,9,7,1,1,1,8,1,1,5,7
2974,5,10,8,10,5,9,10,9,1,7,1,7,1,1,2,8
2975,5,8,8,6,5,8,9,6,1,1,1,5,2,1,2,7
2976,8,10,9,10,10,9,8,4,1,1,5,8,1,1,1,5
2977,9,9,9,9,10,9,10,8,1,10,1,7,1,2,1,7
2978,9,8,9,10,10,9,9,9,1,9,2,6,1,2,5,9
2979,5,8,8,10,10,8,8,8,1,3,1,6,1,2,7,9
2980,10,10,9,7,10,10,10,4,1,9,1,7,1,1,2,6
2981,1,7,8,10,10,8,10,7,1,10,1,6,1,1,2,8
2982,8,9,9,10,10,9,5,8,1,1,1,7,1,1,1,7
2983,6,8,8,10,10,8,8,6,1,3,4,7,1,1,4,7
2984,5,10,7,10,10,9,5,6,1,6,1,6,1,1,5,8
2985,2,3,5,4,5,4,5,2,1,1,1,7,2,1,5,4
2986,9,10,10,10,5,9,10,7,1,6,1,2,1,6,1,8
2987,5,7,8,10,5,8,10,6,3,1,1,8,1,1,1,6
2988,9,9,8,10,10,9,9,7,1,10,1,7,1,1,5,7
2989,8,8,9,10,10,8,8,3,1,7,1,6,1,1,1,6
2990,5,10,10,10,10,10,10,9,1,1,6,6,1,1,5,9
2991,5,8,8,7,5,9,10,3,1,10,6,8,1,1,1,5
2992,7,8,8,10,10,9,10,7,1,9,1,6,1,1,3,8
2993,9,10,8,9,5,10,8,6,1,6,1,7,1,4,2,7
2994,5,8,10,10,5,9,8,7,1,1,1,6,1,1,1,9
2995,8,10,10,10,10,10,5,4,1,7,7,7,1,1,1,7
2996,9,10,6,10,10,8,9,8,1,1,1,6,1,4,1,8
2997,1,3,9,10,5,3,10,8,1,8,1,2,1,1,5,8
2998,8,10,8,10,10,9,8,8,1,10,1,3,1,1,6,9
2999,8,9,7,10,10,9,10,7,1,9,6,3,1,1,2,8
3000,3,8,9,10,10,9,10,9,3,9,7,7,1,1,3,6
3001,2,4,4,4,5,6,7,5,1,1,1,3,1,3,5,8
3002,1,9,7,10,10,9,10,6,1,7,1,8,1,2,2,7
3003,9,7,8,6,5,9,9,6,1,8,1,8,1,3,1,6
3004,8,10,7,6,5,9,9,4,1,10,5,8,1,1,1,6
3005,9,10,10,10,10,8,10,8,1,3,9,3,1,7,5,9
3006,8,10,9,10,10,9,10,9,1,6,1,6,1,4,8,9
3007,5,10,6,10,10,8,10,8,1,7,1,8,1,1,1,8
3008,9,9,8,10,10,8,7,7,1,7,6,6,1,2,3,8
3009,10,10,9,10,10,10,10,4,1,9,6,7,1,1,3,7
3010,6,9,8,3,5,7,9,7,1,10,1,7,1,1,5,8
3011,10,10,10,10,10,10,9,6,1,4,1,8,1,1,1,7
3012,10,10,10,10,10,10,10,10,1,7,8,7,4,6,3,9
3013,10,10,9,10,5,10,10,8,1,6,1,6,1,7,2,8
3014,7,7,7,9,5,8,7,7,1,1,8,7,2,1,1,8
3015,1,4,4,10,10,5,9,6,1,3,5,6,2,1,4,7
3016,5,7,7,10,5,8,9,6,1,10,1,8,1,3,5,7
3017,5,7,8,10,10,6,7,6,1,1,1,5,1,2,5,7
3018,1,8,8,5,5,7,7,4,1,9,1,8,1,2,2,6
3019,1,3,3,9,5,5,9,7,1,1,1,4,1,3,1,8
3020,7,6,7,10,10,7,9,6,1,10,4,6,1,2,5,8
3021,9,8,10,10,10,9,9,8,1,3,1,5,1,1,6,9
3022,5,8,7,5,10,9,9,6,1,1,2,7,1,2,2,7
3023,1,3,3,10,10,5,9,6,1,3,1,7,1,1,1,6
3024,9,10,8,4,5,9,9,3,1,1,4,9,2,1,5,5
3025,2,6,8,8,6,8,10,8,1,1,1,6,1,6,3,8
3026,4,9,10,4,5,7,9,3,1,3,1,7,1,1,5,6
3027,6,7,6,9,10,7,7,4,1,1,1,7,1,1,1,6
3028,9,7,9,10,5,8,9,4,1,3,1,7,1,1,1,6
3029,8,10,9,10,5,10,10,7,1,1,1,7,1,1,1,7
3030,1,7,8,8,10,8,9,3,1,3,1,8,1,1,5,5
3031,7,6,5,6,5,8,8,4,1,4,1,8,1,1,1,6
3032,3,4,6,8,5,6,9,4,1,9,1,8,1,2,1,6
3033,9,10,10,10,10,9,10,8,1,10,1,6,1,1,1,7
3034,9,10,8,5,10,9,9,3,1,7,1,9,1,2,1,5
3035,2,7,8,10,10,7,8,5,1,3,1,9,1,3,2,6
3036,9,10,9,10,5,9,8,3,1,10,1,6,1,1,3,7
3037,5,8,8,10,10,8,10,6,1,9,5,7,2,1,5,8
3038,7,9,8,10,5,8,9,3,1,6,1,8,1,2,2,4
3039,8,9,9,9,5,9,8,8,1,1,1,8,1,1,5,7
3040,5,10,7,9,10,9,8,6,1,1,1,8,1,2,1,6
3041,2,7,8,9,10,8,9,7,1,8,1,8,1,1,5,7
3042,1,9,7,6,5,8,6,8,1,1,1,3,2,2,1,9
3043,8,10,10,10,10,9,4,8,1,1,1,4,1,1,1,8
3044,10,8,8,10,10,8,10,3,1,4,7,8,1,1,5,5
3045,8,10,9,10,10,9,10,6,1,1,1,3,1,1,2,8
3046,5,8,8,10,5,8,10,7,1,3,6,6,1,1,3,8
3047,3,4,6,6,10,5,7,8,1,1,1,6,1,1,2,8
3048,9,9,8,4,10,9,7,6,1,1,1,6,1,1,2,7
3049,9,10,10,10,10,9,10,4,1,10,1,9,1,1,2,5
3050,5,8,8,10,10,9,5,8,1,7,1,2,1,4,3,9
3051,5,8,8,10,10,8,8,5,1,1,1,8,1,8,6,7
3052,5,7,8,4,2,7,9,8,1,1,1,5,1,1,6,8
3053,6,10,7,6,5,8,9,4,1,9,6,9,1,3,1,6
3054,9,9,8,10,10,9,9,9,1,1,1,8,1,1,5,8
3055,9,10,10,10,10,9,9,7,1,7,1,6,1,1,1,8
3056,2,6,8,9,5,8,10,3,1,9,1,8,1,2,6,6
3057,2,6,6,8,10,7,3,3,1,1,1,7,1,2,2,6
3058,4,6,8,7,5,6,8,7,1,8,1,9,1,1,3,6
3059,9,9,7,6,10,9,8,8,1,1,3,6,1,1,3,8
3060,8,8,8,10,5,9,9,6,1,1,3,7,2,3,4,8
3061,9,10,8,9,5,9,9,4,1,1,1,5,1,1,1,7
3062,9,7,6,4,4,8,9,6,1,6,1,8,1,1,2,7
3063,9,10,6,10,10,9,9,7,1,9,1,7,1,1,1,7
3064,2,6,5,6,5,7,9,6,1,6,1,7,1,1,6,7
3065,7,8,9,10,5,9,9,8,1,3,1,8,3,5,3,8
3066,4,10,10,10,6,9,5,3,1,9,1,8,1,1,3,6
3067,9,10,10,7,10,9,9,8,1,8,5,8,2,1,1,7
3068,7,6,7,6,5,8,10,5,1,7,1,6,1,4,5,8
3069,1,6,7,4,10,6,10,5,1,8,1,6,1,6,5,7
3070,5,7,8,9,10,8,9,6,1,1,5,5,1,6,2,8
3071,8,9,7,6,5,8,4,5,1,3,4,6,1,1,1,7
3072,8,10,10,10,10,9,10,6,1,9,1,8,1,7,2,8
3073,5,4,6,10,10,4,8,7,1,3,1,3,1,2,1,8
3074,1,8,10,10,10,7,10,5,1,9,1,6,1,1,1,6
3075,10,7,6,7,10,9,10,8,1,9,4,7,1,1,5,7
3076,3,4,7,10,10,4,5,6,1,3,1,8,1,1,1,7
3077,9,9,8,10,5,8,10,8,1,8,1,6,1,2,2,8
3078,10,10,9,7,5,9,10,8,1,10,1,6,1,1,2,8
3079,5,8,8,10,10,9,10,3,1,9,1,9,1,1,1,3
3080,8,10,9,10,5,8,10,8,1,6,4,6,1,3,1,8
3081,4,6,7,2,10,8,9,4,1,10,1,9,1,1,1,5
3082,7,7,8,9,5,8,9,8,1,9,3,4,1,1,1,9
3083,3,4,9,10,10,6,5,5,1,3,1,7,4,1,5,6
3084,8,7,6,4,5,8,9,6,1,8,1,5,1,2,5,8
3085,8,9,10,10,5,8,8,7,1,6,1,9,1,1,2,6
3086,2,4,3,8,10,8,8,6,1,1,1,6,2,3,1,8
3087,8,8,8,8,5,9,7,7,1,6,2,2,1,1,3,8
3088,8,10,10,4,5,8,10,5,1,1,1,4,1,1,1,7
3089,9,9,9,10,5,9,10,8,1,8,1,6,1,1,5,8
3090,8,8,7,7,5,8,9,7,1,7,1,7,1,6,2,8
3091,10,10,10,10,5,10,10,9,1,1,1,7,1,1,1,8
3092,8,8,4,2,10,8,9,9,3,1,1,3,1,1,3,8
3093,2,4,5,4,10,6,8,4,1,3,1,7,1,4,5,6
3094,5,7,8,10,10,8,5,6,1,3,1,5,1,1,2,8
3095,5,9,7,3,5,8,8,4,1,7,1,7,1,2,5,6
3096,7,6,6,6,10,8,10,8,1,1,1,3,1,3,1,8
3097,9,3,2,2,5,4,9,6,1,6,1,6,1,9,5,8
3098,6,8,7,6,5,7,9,6,1,1,1,7,1,3,1,7
3099,10,10,10,10,5,9,8,6,1,6,4,7,1,2,1,7
3100,3,10,9,10,10,9,9,7,1,4,1,4,1,1,1,8
3101,5,6,8,9,5,7,9,8,1,9,6,7,1,1,2,8
3102,10,9,8,5,5,9,7,7,1,7,1,7,1,1,6,8
3103,3,8,9,10,10,8,10,8,1,10,3,7,2,1,4,8
3104,5,7,7,10,5,6,8,3,1,1,1,6,1,4,1,6
3105,9,10,10,10,5,10,10,7,1,4,6,6,1,1,3,8
3106,7,8,9,10,10,8,7,8,1,1,1,6,2,1,1,8
3107,10,8,7,10,10,9,8,6,1,1,1,5,1,1,5,8
3108,9,9,8,10,10,10,10,8,1,9,1,7,1,4,1,8
3109,7,10,7,4,10,9,9,7,1,9,7,6,1,1,1,8
3110,5,7,6,8,10,8,9,8,1,1,1,6,1,1,6,9
