NberID,Modal Verb Strength,Hedging Frequency & Type,Qualifier Density,Acknowledgement of Limitations,Caution-Signaling Connectors,Assertiveness & Voice,Active/Passive Voice Ratio,Sentence Length & Directness,Imperative-Form Occurrence,Pronoun Commitment,Novelty-Claim Strength,Jargon/Technicality Density,Emotional Valence,Evidence & Citation Usage,Practical/Impact Orientation,llm_readability
w12368,2,3,3,9,5,5,9,8,1,3,1,3,2,3,2,9
w1237,9,10,10,8,5,9,8,8,1,1,1,8,1,1,5,7
w12410,5,7,6,9,8,8,9,4,1,9,2,5,1,3,5,7
w12462,8,10,10,10,10,9,7,8,1,2,6,7,1,3,1,7
w12466,2,7,6,10,10,9,8,6,1,8,4,3,2,4,1,8
w12467,9,8,9,10,10,9,9,7,1,10,1,6,1,2,6,8
w12475,7,6,6,9,10,8,9,4,1,9,3,8,1,2,2,7
w12477,9,9,9,10,10,9,8,6,1,1,3,7,1,2,1,7
w12478,8,10,10,10,10,10,10,9,1,10,6,6,1,1,3,9
w12498,3,7,6,10,10,7,9,6,1,9,3,8,1,1,1,7
w12508,1,7,8,10,10,8,9,4,1,10,1,4,1,6,6,7
w12514,3,7,6,6,5,8,8,3,1,1,1,8,1,6,6,5
w12517,3,6,8,10,5,8,9,7,1,10,1,3,1,2,5,8
w12537,9,10,10,10,10,10,10,8,1,8,6,8,1,1,1,7
w12562,3,7,8,8,5,7,9,6,1,9,6,6,1,6,6,8
w1257,2,2,7,9,5,6,9,6,1,1,1,7,3,1,1,7
w12591,5,8,9,10,10,9,10,9,1,1,1,3,1,2,1,9
w1260,7,6,8,6,5,7,8,4,1,1,6,8,1,5,5,6
w12600,9,10,10,10,10,10,10,8,1,1,1,8,1,1,3,7
w12606,2,4,3,10,10,3,9,2,1,9,1,8,1,1,3,4
w12612,8,10,10,9,5,9,9,4,1,7,1,6,1,6,3,7
w12614,10,10,10,3,5,9,8,3,1,9,1,9,1,2,1,4
w12618,5,7,8,6,10,8,10,9,1,6,6,7,1,2,5,9
w12623,2,7,8,10,5,8,10,7,1,9,1,4,1,1,6,8
w12629,9,10,10,10,10,10,10,8,1,10,1,8,3,2,1,7
w12639,7,9,7,9,10,10,9,6,1,9,6,8,1,8,2,7
w12650,9,10,10,10,10,10,10,6,1,10,6,9,1,1,1,6
w12671,5,10,10,10,10,10,5,7,1,10,1,7,1,2,1,8
w12685,9,8,9,4,10,9,10,6,1,9,1,8,1,2,5,7
w12701,10,4,8,10,10,7,8,7,1,7,1,5,1,6,2,8
w12706,9,8,10,6,5,8,9,7,1,7,1,6,1,1,5,7
w12707,4,9,8,8,5,9,10,8,1,10,6,3,1,3,2,9
w12720,2,10,10,10,10,8,10,6,1,6,1,4,1,1,5,8
w12721,1,8,7,10,5,8,10,7,1,7,7,6,1,1,4,8
w12727,5,7,7,6,5,7,10,8,1,7,1,6,1,1,2,9
w12745,1,7,8,9,5,7,10,7,1,9,1,4,1,1,5,8
w12782,9,9,8,10,5,9,7,3,1,1,1,8,1,1,1,7
w12783,8,9,8,4,10,9,8,7,1,6,5,6,1,1,6,8
w12807,10,10,9,10,10,10,9,6,1,9,1,6,1,3,5,8
w12809,1,6,7,10,5,6,10,6,1,8,1,5,1,1,1,8
w12812,3,4,7,7,5,6,10,6,1,9,1,5,1,3,5,8
w12824,10,9,7,10,9,9,8,7,1,3,4,8,1,2,1,7
w12833,2,3,4,4,10,7,9,3,1,8,1,8,1,2,6,5
w12838,9,8,9,10,5,9,10,4,1,1,8,7,1,1,3,6
w12845,3,9,8,4,5,8,9,3,1,10,9,9,1,1,1,4
w12855,9,10,10,10,10,10,9,4,1,4,1,8,1,3,3,6
w12880,6,8,7,9,10,8,8,3,1,10,1,9,1,4,5,6
w12881,7,9,9,10,10,9,10,8,1,10,1,8,1,1,6,8
w12889,9,9,5,10,5,8,8,7,1,7,1,3,1,3,1,8
w12894,5,6,4,9,5,7,7,8,1,3,1,4,2,2,3,8
w12909,5,8,9,6,5,8,10,7,1,8,3,8,1,3,3,7
w12917,9,10,10,10,6,9,10,6,1,4,4,5,1,1,1,8
w12924,6,6,7,9,10,8,10,7,1,10,1,4,1,3,1,8
w12927,3,9,10,10,10,9,8,4,1,8,6,9,1,1,1,6
w12932,9,9,8,10,10,9,9,6,1,9,1,7,1,4,2,8
w12936,2,10,9,10,5,7,8,4,1,9,7,8,1,2,5,6
w12938,9,6,5,9,9,8,8,3,1,9,4,7,1,4,5,7
w12969,10,10,10,10,5,9,5,6,1,8,1,2,3,2,1,8
w12972,6,7,5,9,5,8,8,3,1,10,6,8,2,2,7,6
w12986,9,10,10,10,10,10,9,8,1,4,1,9,1,3,5,8
w12994,9,7,7,10,10,8,9,4,1,9,1,9,1,6,1,4
w13008,10,10,10,10,10,9,10,9,1,7,6,3,1,1,3,9
w13028,9,6,7,6,5,8,8,7,1,6,4,6,1,2,3,8
w1303,5,7,8,5,5,8,8,6,1,9,3,7,1,2,2,7
w1304,1,6,7,8,10,8,8,7,1,1,2,9,1,1,5,6
w13041,10,8,9,10,5,9,7,4,1,7,1,7,1,8,6,7
w1305,5,9,8,10,10,9,2,6,1,1,1,7,1,2,1,7
w13052,2,10,9,10,5,9,9,7,1,6,1,7,1,6,1,8
w13060,8,10,10,10,5,9,8,6,1,9,3,6,1,5,6,8
w13067,1,8,10,10,10,9,9,8,1,10,7,8,1,1,5,8
w13068,1,7,9,10,10,7,7,7,1,9,1,7,1,4,2,8
w13073,8,8,8,9,10,9,9,8,1,8,1,6,1,1,6,8
w13085,1,10,7,10,5,9,5,7,1,3,6,7,2,1,1,8
w13099,9,8,7,4,10,8,9,3,1,7,4,8,1,2,6,6
w13104,3,8,10,10,10,9,7,9,1,1,1,8,1,2,1,7
w13121,1,7,7,10,10,8,9,9,1,10,1,5,1,4,3,9
w13126,8,9,10,10,10,10,9,6,1,10,1,7,1,2,3,8
w13128,6,8,8,10,10,9,10,7,1,10,1,7,1,6,1,8
w13135,1,10,10,9,5,9,6,4,1,8,1,7,1,6,2,7
w13145,9,7,8,9,10,9,10,4,1,9,1,9,1,6,5,7
w13155,9,9,9,10,10,9,9,6,1,10,6,7,1,4,3,7
w13160,5,7,6,9,5,6,10,4,1,10,1,6,2,1,6,7
w13162,2,6,7,9,10,6,10,6,1,7,1,6,1,5,1,8
w13204,5,8,8,10,5,8,10,7,1,9,1,7,1,1,1,7
w13206,3,8,6,10,10,9,5,3,1,8,1,6,2,1,1,6
w13224,8,10,10,6,10,9,8,4,1,9,1,6,1,2,1,7
w13228,4,3,3,6,5,4,8,6,1,9,3,8,1,5,6,7
w13236,8,10,9,10,10,10,6,7,1,3,6,8,1,3,2,7
w13241,8,9,9,3,5,9,10,5,1,6,6,8,1,1,5,6
w13243,9,10,8,10,10,9,10,8,1,6,9,6,1,1,6,9
w13247,3,8,8,9,5,9,10,7,1,9,6,5,1,2,5,8
w13264,8,8,8,10,10,9,10,7,1,9,1,5,1,1,3,8
w13290,2,6,6,8,10,8,8,9,1,9,1,6,1,6,2,9
w13291,5,7,6,9,5,6,5,6,1,1,6,6,1,2,3,8
w13297,10,8,10,10,5,9,10,7,1,10,6,8,1,3,3,8
w13303,9,8,8,4,10,8,9,3,1,6,1,7,1,1,4,7
w13305,3,6,7,8,10,8,8,6,1,9,1,3,2,3,6,8
w13309,10,10,10,10,10,10,10,9,1,10,1,6,1,1,1,8
w13310,5,10,9,3,10,9,3,6,1,1,2,8,1,1,1,6
w13326,9,10,8,8,10,10,10,6,1,10,1,7,1,1,4,7
w13330,9,10,8,9,10,9,9,6,1,10,1,8,1,6,5,7
w1334,5,8,8,3,10,8,10,3,1,10,5,3,1,1,5,7
w13340,3,7,7,9,5,6,9,4,1,3,6,4,1,1,2,6
w13345,9,9,6,10,5,9,9,7,1,3,1,5,2,3,1,8
w13347,9,8,9,8,10,8,8,7,1,9,1,6,1,8,5,9
w13360,5,7,7,8,5,6,10,9,1,10,1,5,1,1,5,9
w13367,3,8,10,10,10,8,10,8,1,10,1,3,1,4,2,9
w13370,3,6,7,10,5,8,9,7,1,9,3,7,1,1,1,7
w13371,2,6,9,10,9,8,9,4,1,9,1,6,1,6,5,6
w13373,9,9,7,10,10,10,9,8,1,3,7,7,2,2,2,8
w13380,9,8,8,10,10,9,9,5,1,10,3,7,1,6,7,7
w13385,9,9,8,10,10,9,6,7,1,6,5,8,1,3,2,7
w13390,8,10,7,9,5,9,8,7,1,9,6,9,2,3,2,6
w13392,2,8,4,9,5,9,8,4,1,10,1,6,1,5,5,7
w1340,10,10,9,10,10,10,10,3,1,1,1,8,1,1,1,6
w13410,9,9,8,7,5,9,7,6,1,1,1,7,3,1,5,7
w13416,5,8,8,10,10,9,9,7,1,10,5,8,1,1,6,7
w13417,5,6,6,10,5,8,8,7,1,9,6,3,3,4,2,8
w13432,8,10,9,9,10,9,9,3,1,9,6,9,1,4,5,4
w13433,1,9,8,10,5,9,10,8,1,10,1,7,1,1,3,8
w13447,4,4,6,8,10,8,7,7,1,10,5,7,1,3,1,8
w13465,9,10,10,10,5,9,9,6,1,9,4,8,2,3,5,7
w13483,2,10,10,10,10,9,8,6,1,9,1,8,1,1,3,7
w13507,9,7,9,6,10,7,9,8,1,9,1,7,2,3,6,9
w13516,5,4,4,6,5,7,7,4,1,10,1,5,1,6,1,7
w13535,9,7,7,9,8,7,9,3,1,8,5,8,1,2,3,6
w1354,5,10,10,3,10,9,6,3,1,1,1,7,1,2,1,5
w13540,7,10,9,6,5,8,10,8,1,9,6,8,1,1,1,7
w13543,5,9,9,10,10,9,9,8,1,8,1,6,1,4,1,9
w13616,5,9,8,10,5,9,9,7,1,6,1,2,1,4,2,8
w13623,10,6,7,6,10,8,9,9,1,9,1,3,1,4,6,9
w13626,7,7,7,9,10,8,8,5,1,8,4,6,1,7,4,7
w13637,8,9,8,4,10,9,8,7,1,9,1,5,1,6,5,8
w13646,9,9,8,10,10,9,10,6,1,6,6,9,1,1,1,6
w13656,5,7,8,10,5,9,10,6,1,6,1,6,1,1,1,8
w13661,8,10,8,6,10,9,9,3,1,8,8,7,1,3,1,7
w13665,7,8,8,3,10,7,7,8,1,8,1,3,1,1,5,8
w13668,8,8,7,9,5,8,8,6,1,8,1,3,1,6,5,8
w13674,2,7,6,3,6,8,9,3,1,10,1,8,1,2,2,6
w1369,9,7,7,10,5,9,10,4,1,6,1,8,2,1,5,6
w13690,3,8,7,9,5,8,10,6,1,1,1,9,1,2,5,6
w13694,8,7,5,9,5,9,10,8,1,10,4,6,1,1,2,9
w13699,9,9,9,9,10,9,9,9,1,6,7,3,1,7,1,9
w13718,5,6,6,7,5,8,8,7,1,9,1,3,1,7,6,9
w13719,10,10,9,10,10,10,10,7,1,10,5,8,1,4,5,8
w13724,5,8,8,10,10,8,7,5,1,3,2,8,1,2,2,6
w13727,5,6,4,10,10,7,8,5,1,3,1,3,1,1,1,8
w13732,9,9,8,10,5,9,10,6,1,7,1,8,2,1,3,6
w13737,9,9,7,4,5,9,9,6,1,7,8,8,1,1,3,6
w13768,7,8,7,9,5,8,8,3,1,10,1,7,1,3,5,6
w13772,1,4,5,7,10,8,9,6,1,6,3,8,1,2,3,7
w13776,3,7,8,10,5,7,9,6,1,10,1,6,1,7,5,8
w13783,8,9,9,8,10,9,7,6,1,1,1,7,3,1,3,7
w13790,7,9,10,10,10,9,10,6,1,9,1,7,1,2,2,7
w13807,10,10,10,7,10,9,9,8,1,10,4,6,1,1,1,8
w13812,9,10,10,10,10,9,7,7,1,3,1,8,1,1,1,6
w13829,8,9,8,10,10,9,9,9,1,9,5,6,1,2,4,8
w13833,5,8,7,9,10,8,8,6,1,6,1,8,1,6,3,8
w13878,8,9,9,9,10,9,9,8,1,10,1,3,1,1,6,8
w1388,5,10,10,10,10,10,9,6,1,1,1,7,1,1,1,7
w1389,6,10,10,10,10,10,9,8,1,1,2,7,1,1,2,8
w13893,9,9,9,6,5,9,9,6,1,10,2,8,2,1,1,7
w13894,2,9,9,10,5,8,8,6,1,9,6,8,1,1,1,7
w13901,6,10,8,10,5,9,10,8,1,10,1,4,2,1,5,8
w13910,3,8,9,10,10,8,10,8,1,6,1,9,2,1,1,7
w13912,8,8,8,10,5,8,9,7,1,9,1,8,1,4,5,7
w13917,2,6,6,9,5,6,9,6,1,6,1,4,1,2,5,8
w13919,2,9,10,8,10,9,10,8,1,8,1,3,2,1,1,9
w13924,8,7,6,4,10,9,9,6,1,10,6,7,1,2,3,7
w13936,9,9,8,10,10,9,8,3,1,9,1,6,2,2,2,6
w13947,8,8,10,10,10,9,9,7,1,7,5,6,1,6,1,8
w13964,1,6,9,3,5,7,10,6,1,10,1,7,1,1,5,7
w13967,5,10,10,10,10,10,9,6,1,9,7,8,1,1,8,7
w13983,8,10,10,10,10,9,7,7,1,7,3,8,1,6,2,8
w13995,9,8,8,9,10,9,8,7,1,1,1,3,1,7,5,8
w13999,1,6,8,10,5,7,6,6,1,9,7,6,1,1,5,7
w1400,2,6,5,8,10,8,9,4,1,10,1,7,1,1,1,6
w14001,7,7,8,10,10,9,9,8,1,9,2,8,1,3,2,6
w14002,9,10,10,10,10,10,10,4,1,10,6,9,1,1,1,4
w14030,9,8,8,9,10,9,7,4,1,9,5,6,1,3,6,7
w14031,5,7,7,10,10,7,9,7,1,6,1,6,1,6,4,8
w14035,8,6,5,8,10,8,7,6,1,8,1,6,1,4,3,8
w14052,6,10,10,10,10,4,7,4,1,3,1,8,1,2,2,6
w14059,8,10,9,10,5,9,10,7,1,9,5,6,1,3,5,9
w14063,9,9,8,8,5,10,10,7,1,10,1,6,1,3,2,8
w14067,2,6,6,9,5,7,9,5,1,7,6,6,1,1,3,7
w14081,5,10,9,7,3,10,8,6,1,7,1,6,1,1,3,8
w14097,9,10,9,9,10,9,9,6,1,10,1,4,2,1,1,8
w14098,8,8,4,6,10,8,10,4,1,1,1,9,1,3,6,6
w1410,2,6,5,6,10,8,4,3,1,1,3,6,1,2,1,5
w14115,4,10,9,10,10,9,8,7,1,3,1,9,1,3,1,6
w14130,9,8,7,10,5,9,3,4,1,1,1,7,2,4,1,6
w14140,9,9,10,10,5,9,10,7,1,9,1,6,2,1,4,8
w14153,4,8,8,6,5,8,9,9,1,9,1,7,1,6,5,8
w14161,7,9,8,10,10,9,10,4,1,10,4,9,1,1,2,6
w14177,2,3,3,10,5,4,9,6,1,9,6,7,1,4,1,7
w14181,9,10,10,7,10,10,10,4,1,1,7,8,1,3,1,6
w14198,8,8,7,9,5,9,9,7,1,6,1,4,1,3,6,9
w14200,8,9,9,10,5,9,8,4,1,9,1,9,1,2,1,6
w14214,2,9,9,10,10,9,10,7,1,10,7,8,1,5,4,8
w14215,5,10,10,10,10,10,7,7,1,6,1,8,1,1,1,6
w14219,8,9,9,9,10,9,9,6,1,7,1,7,1,5,5,7
w14239,5,7,6,5,10,8,8,4,1,9,7,7,1,1,4,6
w14243,6,8,10,10,10,9,7,3,1,10,7,9,1,1,1,4
w14255,2,4,7,8,5,7,9,7,1,10,1,8,1,1,1,7
w14285,3,3,3,4,10,6,9,3,1,9,8,8,1,1,5,6
w14316,5,7,6,9,5,6,10,8,1,6,5,7,1,1,5,8
w14319,9,10,7,10,5,9,10,6,1,7,1,5,1,1,1,8
w1436,1,6,7,10,10,5,10,8,1,1,1,6,1,3,4,8
w14368,7,8,7,6,5,8,6,4,1,7,5,7,1,3,5,7
w14369,9,10,6,9,5,8,9,6,1,10,1,4,1,7,6,8
w14376,5,10,10,10,10,9,5,3,1,1,1,9,1,1,4,4
w14389,4,8,7,9,5,8,8,6,1,8,1,8,1,6,2,7
w14406,4,7,9,10,5,8,9,6,1,10,1,5,1,6,8,8
w14414,9,8,8,9,5,9,9,8,1,10,1,7,1,1,5,8
w14416,5,8,6,10,10,8,9,4,1,10,1,7,1,8,3,7
w14423,9,9,7,7,6,9,8,7,1,1,8,8,2,2,6,6
w14425,9,8,8,4,5,8,10,8,1,7,1,9,1,1,1,6
w14442,10,8,8,8,10,9,8,7,1,8,3,6,2,3,5,8
w14448,7,9,9,10,5,9,10,3,1,8,1,6,1,1,1,6
w14455,2,8,10,10,10,8,10,8,1,8,1,6,1,7,6,8
w14468,3,6,8,9,10,8,8,7,1,10,1,5,1,2,3,8
w14469,8,8,9,3,6,8,9,6,1,9,2,9,1,3,4,6
w14475,4,4,5,3,5,7,6,6,1,3,3,4,1,7,5,8
w14478,9,10,9,5,5,10,10,3,1,1,7,8,1,1,1,6
w14501,7,8,8,8,5,8,9,6,1,6,5,7,1,2,2,8
w14505,2,4,4,9,5,6,8,7,1,1,1,6,1,1,2,8
w14516,4,6,8,8,10,8,8,6,1,9,6,7,1,5,6,8
w14517,9,10,10,10,10,10,9,7,1,9,1,7,1,1,6,8
w14522,5,6,7,9,7,7,10,4,1,10,1,6,1,8,6,8
w14526,6,6,7,4,10,8,9,4,1,9,1,8,1,1,6,6
w14554,1,7,7,9,10,8,6,7,1,6,3,8,1,1,1,7
w14570,9,8,7,5,5,8,9,6,1,6,1,7,1,8,6,8
w14572,5,7,9,7,5,8,9,7,1,6,1,6,1,1,5,8
w14577,1,7,7,10,10,7,9,6,1,10,1,8,2,6,1,7
w14586,3,10,6,9,10,8,9,6,1,9,6,8,2,5,2,6
w14588,1,7,4,7,5,7,10,8,1,9,1,6,1,3,3,9
w1459,1,8,7,9,10,9,8,3,1,10,6,9,1,2,5,5
w14590,3,7,9,10,10,8,10,8,1,10,1,7,1,2,6,8
w14595,6,9,9,10,10,9,10,8,1,10,1,2,1,1,5,9
w14599,8,9,8,8,10,9,9,6,1,9,1,9,1,6,2,7
w14606,9,10,10,10,10,9,10,7,1,10,7,6,1,3,3,8
w14610,2,9,3,10,5,9,9,6,1,10,1,7,1,4,5,7
w14613,3,5,6,8,7,7,6,3,1,8,5,8,1,1,3,6
w14621,9,9,9,10,10,9,8,5,1,9,8,8,1,1,3,6
w14630,7,10,9,5,10,8,9,3,1,3,3,8,1,1,2,5
w14644,9,9,7,10,10,9,10,8,1,10,6,6,2,3,1,9
w14645,9,10,10,10,10,9,10,6,1,4,7,8,1,1,1,7
w14648,8,10,10,8,10,10,9,8,1,8,1,6,1,2,3,8
w14670,2,9,9,10,10,9,9,4,1,10,1,7,1,4,1,7
w14672,5,10,10,10,10,10,7,6,1,6,6,9,1,1,3,6
w14674,9,8,7,7,10,9,10,8,1,3,5,8,1,2,2,7
w14675,9,8,9,7,10,9,9,9,1,1,6,4,1,1,1,9
w14686,1,8,6,5,10,8,4,6,1,1,1,6,1,1,1,7
w14697,1,9,9,10,10,8,10,7,1,10,1,7,1,1,1,7
w14709,9,7,6,10,5,9,9,4,1,10,3,9,1,6,6,6
w14730,8,10,10,10,10,9,9,7,1,10,1,7,1,1,6,7
w14737,8,8,7,10,10,10,10,9,1,7,1,8,1,6,4,8
w14740,8,8,7,9,10,9,9,4,1,10,6,7,1,5,2,7
w14743,9,10,7,10,5,10,10,4,1,10,1,8,1,1,2,6
w14759,3,8,7,7,10,9,9,3,1,9,6,8,1,1,6,5
w14769,8,8,8,9,8,9,9,5,1,9,1,7,1,2,1,7
w14776,9,10,9,10,10,10,10,6,1,10,6,8,1,6,3,7
w14783,5,9,8,10,10,9,10,4,1,10,1,7,1,6,1,8
w14787,9,10,10,10,10,9,9,8,1,7,1,8,1,2,1,8
w14809,6,7,7,6,3,8,8,3,1,9,2,8,1,1,3,5
w14813,2,9,8,10,5,8,9,3,1,9,1,3,1,3,5,7
w14822,8,10,10,10,10,9,6,4,1,7,1,7,1,2,2,7
w14829,5,7,10,10,5,7,10,7,1,9,3,9,1,2,5,6
w14831,8,7,9,10,10,8,8,7,1,3,1,3,2,1,1,8
w14844,9,10,8,10,10,9,9,8,1,8,2,4,1,1,2,9
w14855,8,9,9,10,10,9,9,7,1,10,2,8,1,7,8,8
w14864,10,9,8,7,10,8,9,8,1,7,5,8,1,3,5,7
w14866,7,6,6,7,5,7,7,6,1,6,1,6,1,6,5,8
w14867,3,6,6,6,5,8,8,6,1,10,1,8,1,1,2,6
w14869,8,6,6,6,5,8,8,4,1,7,3,6,1,2,5,7
w14874,3,9,10,10,5,8,10,8,1,9,1,6,2,1,1,8
w14875,8,10,9,9,10,9,9,3,1,9,1,8,1,3,2,6
w1488,5,4,7,9,10,6,2,3,1,1,1,6,1,4,2,6
w14882,3,10,10,10,5,8,3,3,1,3,1,9,1,1,1,5
w14883,3,8,8,10,5,7,9,6,1,3,2,8,1,1,2,7
w14898,9,10,10,10,10,10,10,9,1,4,3,6,1,1,2,9
w14901,9,10,7,9,8,9,8,4,1,6,1,8,1,1,6,6
w14905,1,9,8,10,10,9,10,6,1,10,1,8,1,4,4,7
w14914,9,10,10,10,10,10,9,7,1,9,7,7,1,1,1,7
w14915,9,9,9,10,10,10,10,5,1,10,6,8,1,1,3,7
w14925,1,2,3,9,10,3,8,3,1,6,1,6,1,1,5,6
w14937,2,8,9,10,10,8,9,8,1,10,6,4,2,5,5,9
w14938,10,9,4,6,5,9,10,7,1,10,1,6,1,7,2,9
w14942,9,8,7,6,10,8,6,7,1,6,1,5,1,1,5,8
w1495,10,9,6,4,5,9,5,3,1,1,1,8,1,4,2,5
w14959,8,6,7,6,5,7,9,6,1,8,5,3,2,5,3,8
w14960,9,9,10,10,5,9,10,7,1,3,1,6,1,2,1,7
w1497,3,3,7,4,5,5,7,6,1,3,1,7,1,1,2,7
w14991,8,10,9,10,10,9,9,6,1,10,1,9,1,3,2,6
w15010,1,7,7,3,10,8,6,4,1,1,1,7,2,1,2,6
w15015,9,8,9,4,10,9,9,5,1,10,4,8,1,2,1,7
w15041,6,7,8,10,10,9,10,6,1,9,1,4,2,6,4,8
w15049,5,8,6,10,5,7,8,6,1,6,1,8,1,3,2,7
w15060,10,9,7,10,10,9,4,4,1,8,1,6,1,3,6,7
w15082,2,4,5,5,5,6,10,8,1,10,1,6,1,6,5,8
w15084,1,7,8,7,10,6,8,7,1,9,2,6,1,2,1,8
w15088,3,10,9,10,10,8,5,6,1,7,1,6,1,1,5,8
w1509,1,7,9,10,8,8,7,4,1,9,1,8,1,1,2,6
w15093,1,8,6,9,10,8,10,8,1,1,7,6,1,3,2,8
w15097,3,9,10,10,10,9,9,6,1,10,1,8,1,2,2,7
w15117,4,10,9,10,10,8,10,7,1,1,4,7,1,2,3,8
w1512,5,7,6,4,5,7,9,6,1,1,1,7,1,1,5,7
w15129,1,6,8,10,10,8,9,3,1,10,5,7,1,1,4,6
w15131,1,3,4,10,10,7,10,3,1,6,1,6,1,2,7,7
w15138,2,8,8,10,10,9,8,6,1,8,6,8,1,1,7,6
w15149,9,10,10,10,5,9,10,8,1,7,1,6,3,4,6,8
w15150,9,10,10,10,10,10,10,6,1,9,2,7,1,1,1,7
w15157,8,10,9,10,10,9,10,8,1,10,1,3,1,1,2,8
w15158,1,9,9,10,10,9,10,5,1,10,1,4,1,1,1,8
w15162,5,6,4,9,5,6,9,3,1,6,1,6,1,2,5,6
w15194,3,7,9,10,10,8,9,3,1,9,5,8,1,1,5,6
w15198,9,7,6,7,10,8,9,6,1,9,2,7,1,3,5,8
w15199,9,8,7,7,10,9,9,3,1,9,6,6,1,5,6,7
w15211,8,10,10,10,10,10,10,6,1,8,4,6,1,1,4,8
w15226,5,10,10,6,10,9,9,8,1,9,1,9,1,1,1,7
w15230,4,4,8,3,5,7,9,6,1,9,1,7,1,1,3,7
w15243,5,10,6,2,5,10,9,4,1,6,1,8,1,1,1,6
w15247,8,8,7,9,10,9,8,6,1,2,1,8,1,8,3,7
w15253,5,10,10,10,10,8,3,7,1,1,1,7,1,1,5,8
w15257,9,10,9,8,6,10,7,8,1,6,1,8,1,2,2,7
w15280,3,4,5,6,9,7,8,4,1,6,3,7,1,7,7,7
w15283,2,7,8,10,5,8,9,3,1,8,1,6,1,7,2,7
w15286,1,3,5,7,10,4,9,4,1,3,5,8,1,3,1,6
w15291,9,10,7,9,10,9,10,8,1,8,1,6,1,6,2,8
w15323,5,9,9,8,5,9,9,6,1,3,1,6,1,7,5,8
w15329,10,9,8,6,10,9,10,8,1,9,4,7,1,1,5,8
w15338,4,7,8,9,10,9,10,9,1,10,1,7,1,1,4,8
w15342,9,10,10,10,10,10,10,3,1,3,7,6,1,2,4,7
w15346,8,9,9,10,6,8,10,5,1,7,1,7,1,1,2,8
w15349,1,7,8,10,10,8,10,7,1,9,2,6,1,1,4,8
w15359,2,6,6,10,10,8,8,7,1,7,3,8,1,6,3,7
w15361,1,6,9,10,5,7,8,7,1,1,1,3,1,2,5,8
w15369,8,9,6,3,5,8,7,4,1,8,1,8,1,7,5,7
w15376,9,8,8,10,10,9,10,9,1,10,1,4,1,1,6,9
w15382,1,8,8,10,10,7,10,4,1,8,1,8,2,1,2,6
w15394,3,6,7,4,10,7,10,8,1,10,1,8,1,1,2,7
w15399,9,9,8,9,10,9,10,3,1,7,4,8,1,2,2,6
w15409,9,9,7,4,5,9,10,6,1,9,4,6,1,3,2,7
w15416,1,10,10,6,6,9,10,6,1,10,5,8,1,2,1,6
w15434,8,8,7,10,10,8,10,6,1,10,1,7,1,6,3,8
w15451,3,6,4,3,5,7,6,3,1,7,3,8,2,1,6,6
w15464,6,8,9,10,5,9,9,4,1,7,6,8,1,3,3,7
w15481,10,9,8,10,5,8,9,8,1,7,8,7,1,3,5,8
w15490,1,6,8,10,5,8,8,3,1,8,1,7,1,1,2,6
w15497,8,6,6,8,7,8,9,6,1,9,1,6,2,7,2,8
w15502,2,7,8,10,10,7,10,6,1,7,1,7,1,4,1,8
w15509,2,10,10,10,10,10,10,7,1,8,1,7,1,2,2,7
w15512,8,9,10,10,6,9,8,4,1,9,9,6,2,2,6,7
w15540,8,10,10,10,10,10,10,9,1,10,6,8,1,1,1,7
w15544,9,7,7,9,10,8,9,8,1,9,2,4,1,7,2,9
w15549,9,9,7,10,4,9,7,7,1,3,1,4,1,2,1,8
w15556,8,9,10,10,10,9,9,8,1,9,9,7,2,3,2,8
w15563,9,10,9,10,10,9,9,4,1,7,1,7,1,1,1,6
w15581,9,10,10,10,5,9,9,3,1,10,6,8,1,2,2,6
w15598,8,8,8,10,10,8,10,9,1,1,1,6,1,6,2,9
w15602,9,10,6,9,10,9,9,7,1,10,1,3,2,5,2,8
w15604,1,9,10,10,5,8,10,8,1,6,1,6,1,1,1,8
w15605,9,8,6,9,10,8,7,8,1,1,2,3,2,4,1,8
w15609,8,6,4,9,5,8,8,4,1,8,2,3,2,4,2,7
w15610,9,9,8,10,5,10,9,6,1,8,1,7,1,1,1,8
w15616,3,8,7,9,10,8,8,8,1,8,3,9,1,5,3,7
w15617,2,8,8,9,10,9,9,5,1,9,1,8,1,6,2,7
w15628,5,8,7,6,10,8,5,7,1,3,1,5,2,1,1,8
w15629,5,7,8,9,10,8,8,7,1,9,1,6,1,6,3,9
w15641,2,10,10,10,10,9,9,3,1,9,9,9,1,2,1,4
w15646,8,9,7,8,10,8,9,8,1,4,1,5,1,1,3,8
w15647,3,8,7,9,5,8,8,7,1,10,1,8,1,4,1,7
w15664,9,7,7,9,10,9,9,6,1,9,6,8,2,1,8,7
w15684,10,10,8,10,10,10,9,8,1,10,6,3,1,1,1,9
w15686,1,3,4,5,5,8,10,3,1,10,1,6,1,1,1,6
w15705,8,10,10,10,10,9,8,7,1,8,1,7,1,1,2,8
w15719,2,8,4,6,10,8,8,6,1,9,3,8,1,2,4,7
w15724,2,7,9,5,10,6,9,7,1,10,6,7,1,4,5,8
w15745,5,8,9,9,5,8,9,6,1,9,1,6,1,3,3,8
w15748,8,10,10,10,10,10,7,6,1,9,2,8,1,1,3,6
w15750,3,6,7,9,5,7,9,4,1,9,4,7,1,1,5,7
w15762,8,7,7,4,10,8,10,6,1,3,4,8,1,1,5,6
